Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1_10y,area_t2_10y,expansion_ha_peryr_10y
197,E(c),76.293,35.074,2023,12.08,4599,0,other,0,17.19804091609273,17.271700708891554,17.198040916004253,-0.007365979288730173
198,E(o),76.261,35.056,2023,16.89,4881,0,other,0,19.91743779653452,17.271700708891554,19.917437796309436,0.26457370874178815
199,E(o),76.32,35.011,2023,15.36,4753,0,other,0,11.400216624966813,11.253120984762845,11.400216624969717,0.01470956402068726
200,M(e),76.075,34.351,2023,10.63,4435,0,moraine,0,108.41008921302802,73.04220388112032,108.41008921302802,3.5367885331907702
201,E(o),76.383,34.854,2023,13.61,4688,0,other,0,8.916517236731226,9.948173661648164,8.916517236731226,-0.10316564249169388
202,E(o),76.368,34.854,2023,13.27,4821,0,other,0,8.916517236731226,9.948173661648164,8.916517236731226,-0.10316564249169388
203,E(o),76.352,34.833,2023,10.34,4818,0,other,0,8.179639730332305,8.990233156996645,8.179639730332305,-0.08105934266643403
204,E(o),76.456,34.827,2023,19.82,4648,0,other,0,15.037352184666888,15.258694283547005,15.037352184666888,-0.022134209888011645
205,E(o),76.409,34.818,2023,10.2,4816,0,other,0,5.529147746161161,8.848693513123782,5.529147746161161,-0.3319545766962621
206,E(o),76.5,34.772,2023,10.53,4761,0,other,0,7.744511796325558,6.3432157200772155,7.744511796325558,0.14012960762483423
207,E(o),76.469,34.762,2023,17.67,4895,0,other,0,12.172461161977068,12.76262006711683,12.172461161977067,-0.05901589051397629
208,E(o),76.517,34.813,2023,20.6,4771,0,other,0,14.37662288692742,15.408822789286438,14.37662288692742,-0.10321999023590181
209,E(o),76.502,34.811,2023,12.91,4762,0,other,0,14.37662288692742,15.408822789286438,14.37662288692742,-0.10321999023590181
210,E(o),76.711,34.765,2023,10.06,5123,0,other,0,81.44064475366343,62.11366691295271,81.44064475366343,1.9326977840710726
211,M(e),76.718,34.051,2023,15.8,5093,0,moraine,0,17.70765782304155,18.079691048926414,17.70765782304155,-0.037203322588486284
212,M(e),76.721,34.005,2023,18.32,5050,0,moraine,0,18.38737204888485,13.4741510441719,18.387372048884846,0.4913221004712945
213,E(o),76.758,34.671,2023,29.88,4965,0,other,0,27.990510948238796,26.513440513159498,27.990510948238796,0.14770704350792982
214,M(e),76.788,34.006,2023,14.15,5126,0,moraine,0,15.851378032265735,15.925825109054838,15.851378032265737,-0.007444707678910057
215,M(e),76.23,33.945,2023,49.66,4357,0,moraine,0,46.633722412146554,35.236068577705026,46.633722412146554,1.1397653834441528
216,M(e),76.019,33.942,2023,24.05,4197,0,moraine,0,28.16035141666604,8.716073350712232,28.160351416666042,1.944427806595381
